,Title,Organization,Skills,Ratings,Review counts,Metadata
19,Google Prompting Essentials,Google," Presentations, Data Presentation, Data Storytelling, Generative AI, Project Management, Data Analysis, Brainstorming, Productivity Software, Business Writing, Artificial Intelligence, Business Correspondence, Business Ethics",4.8,510 reviews,Beginner · Professional Certificate · 3 - 6 Months
20,Google Advanced Data Analytics,Google," Exploratory Data Analysis, Data Storytelling, Sampling (Statistics), Data Ethics, Data Visualization Software, Data Presentation, Statistical Hypothesis Testing, Regression Analysis, Feature Engineering, Data Transformation, Data Visualization, Probability & Statistics, Tableau Software, Data Manipulation, Advanced Analytics, Data Cleansing, Object Oriented Programming (OOP), Applied Machine Learning, Statistical Analysis, Jupyter",4.7,5.8K reviews,Advanced · Professional Certificate · 3 - 6 Months
21,Foundations of Project Management,Google," Project Management Life Cycle, Change Management, Organizational Structure, Project Management, Project Coordination, Organizational Skills, Agile Methodology, Project Planning, Waterfall Methodology, Cross-Functional Collaboration, Communication, Decision Making",4.9,92K reviews,Beginner · Professional Certificate · 3 - 6 Months
22,IBM AI Product Manager,IBM," Generative AI, New Product Development, Product Management, Product Lifecycle Management, Product Development, Innovation, Product Roadmaps, ChatGPT, Product Planning, Commercialization, Product Strategy, Artificial Intelligence, Project Management Life Cycle, Data Ethics, OpenAI, Product Marketing, Stakeholder Management, Competitive Analysis, Product Testing, Artificial Intelligence and Machine Learning (AI/ML)",4.7,23K reviews,Beginner · Course · 1 - 4 Weeks
23,Data Science Fundamentals with Python and SQL,IBM," Dashboard, SQL, Descriptive Statistics, Jupyter, Statistical Analysis, Data Analysis, Probability Distribution, Pandas (Python Package), Data Visualization Software, Statistics, Data Visualization, Statistical Hypothesis Testing, Databases, Stored Procedure, Web Scraping, Relational Databases, Automation, Data Science, GitHub, Python Programming",4.6,70K reviews,Beginner · Specialization · 3 - 6 Months
24,"Foundations: Data, Data, Everywhere",Google," Data Ethics, Data Analysis, Analytics, Data-Driven Decision-Making, Google Sheets, Business Analytics, Spreadsheet Software, Analytical Skills, Data Sharing, Data Cleansing, Data Processing, Data Strategy, Data Visualization Software, SQL",4.8,112K reviews,Beginner · Course · 1 - 4 Weeks
25,IBM Back-End Development,IBM," Open Web Application Security Project (OWASP), Istio, Software Development Life Cycle, Linux Commands, Unit Testing, Object-Relational Mapping, Application Deployment, Kubernetes, NoSQL, Bash (Scripting Language), MongoDB, Shell Script, OpenShift, Git (Version Control System), Cloud Applications, Containerization, GitHub, Serverless Computing, Jupyter, Grafana",4.6,47K reviews,Beginner · Professional Certificate · 3 - 6 Months
26,IBM Data Engineering,IBM," NoSQL, Data Warehousing, SQL, Apache Hadoop, Extract, Transform, Load, Apache Airflow, Web Scraping, Linux Commands, Database Design, IBM Cognos Analytics, MySQL, Apache Spark, Data Pipelines, Apache Kafka, Database Management, Bash (Scripting Language), Data Store, Jupyter, Generative AI, Professional Networking",4.6,57K reviews,Beginner · Professional Certificate · 3 - 6 Months
27,Supervised Machine Learning: Regression and Classification ,DeepLearning.AI," Supervised Learning, Applied Machine Learning, Jupyter, Scikit Learn (Machine Learning Library), Machine Learning, NumPy, Predictive Modeling, Feature Engineering, Artificial Intelligence, Classification And Regression Tree (CART), Python Programming, Regression Analysis, Unsupervised Learning, Statistical Modeling, Data-Driven Decision-Making, Algorithms",4.9,27K reviews,Beginner · Course · 1 - 4 Weeks
28,Applied Software Engineering Fundamentals,IBM," Software Development Life Cycle, Linux Commands, Unit Testing, Bash (Scripting Language), Shell Script, Git (Version Control System), GitHub, Development Environment, Version Control, File Management, Jupyter, Software Engineering, Software Architecture, Application Deployment, Automation, Flask (Web Framework), Web Scraping, Python Programming, Open Source Technology, Application Development",4.6,46K reviews,Beginner · Specialization · 3 - 6 Months
29,IBM Relational Database Administrator,IBM," Data Warehousing, SQL, Extract, Transform, Load, Apache Airflow, Web Scraping, Linux Commands, Database Design, MySQL, PostgreSQL, Data Pipelines, Apache Kafka, Database Management, Bash (Scripting Language), Shell Script, Database Architecture and Administration, Data Transformation, Data Store, IBM DB2, Jupyter, Generative AI",4.6,56K reviews,Intermediate · Professional Certificate · 3 - 6 Months
30,Business Foundations,IBM," Operations Management, Return On Investment, Operational Efficiency, Financial Statements, Financial Statement Analysis, Finance, Human Capital, Go To Market Strategy, Process Analysis, Branding, People Management, Financial Reporting, Capital Budgeting, Financial Accounting, Operational Performance Management, Consumer Behaviour, Leadership and Management, Marketing Planning, Peer Review, Analysis",4.7,25K reviews,Beginner · Specialization · 3 - 6 Months
31,Applied Data Science,IBM," Dashboard, Data Visualization Software, Plotly, Data Wrangling, Data Visualization, Interactive Data Visualization, Statistical Reporting, Exploratory Data Analysis, Data Cleansing, Jupyter, Matplotlib, Data Analysis, Pandas (Python Package), Data Manipulation, Seaborn, Data Transformation, Predictive Modeling, Web Scraping, Automation, Python Programming",4.6,57K reviews,Beginner · Specialization · 3 - 6 Months
32,IBM Data Analytics with Excel and R,University of Pennsylvania," Data Storytelling, Data Presentation, Interactive Data Visualization, Data Visualization Software, Shiny (R Package), Data Wrangling, Exploratory Data Analysis, Relational Databases, Big Data, Ggplot2, Database Design, Data Analysis, IBM Cognos Analytics, Statistical Analysis, Data Mining, Dashboard, Excel Formulas, Data Manipulation, Web Scraping, Microsoft Excel",4.7,27K reviews,Beginner · Professional Certificate · 3 - 6 Months
33,Data Analysis and Visualization Foundations,IBM," Data Storytelling, Data Presentation, Interactive Data Visualization, Big Data, Data Visualization Software, Data Analysis, Dashboard, IBM Cognos Analytics, Statistical Analysis, Data Mining, Apache Hadoop, Data Collection, Tree Maps, Excel Formulas, Apache Hive, Data Mart, Microsoft Excel, Data Quality, Data Cleansing, Data Import/Export",4.7,26K reviews,Beginner · Specialization · 3 - 6 Months
34,Introduction to Data Science,IBM," SQL, Jupyter, Data Mining, Data Modeling, Databases, Data Science, Stored Procedure, Relational Databases, Database Design, Query Languages, Database Management, Big Data, Data Visualization Software, GitHub, Application Deployment, Data-Driven Decision-Making, User Feedback, Cloud Computing, Data Analysis, Data Cleansing",4.6,97K reviews,Beginner · Specialization · 3 - 6 Months
35,AI For Business,University of Pennsylvania," Generative AI, Data Ethics, HR Tech, Data Governance, Big Data, Machine Learning, Data Security, Governance, Business Strategy, Human Resources, Organizational Strategy, Credit Risk, Business Transformation, Risk Management, Tensorflow, Personalized Service, Digital Transformation, Data-Driven Decision-Making, Artificial Intelligence and Machine Learning (AI/ML), Artificial Intelligence",4.7,1.2K reviews,Beginner · Specialization · 3 - 6 Months
36,IBM & Darden Digital Strategy,University of Virginia Darden School Foundation," Strategic Thinking, Digital Transformation, Business Strategy, Cloud Computing Architecture, Competitive Analysis, Cloud Services, Business Transformation, Cloud Security, Cloud Infrastructure, Big Data, Cloud Platforms, Data Analysis, Statistical Analysis, Cloud Computing, Artificial Intelligence, Generative AI, Data Ethics, Apache Hadoop, Product Lifecycle Management, Business Technologies",4.7,42K reviews,Beginner · Specialization · 3 - 6 Months
37,Data Engineering Foundations,Google," Git (Version Control System), GitHub, Version Control, Puppet (Configuration Management Tool), CI/CD, Containerization, Debugging, Bash (Scripting Language), Infrastructure as Code (IaC), Docker (Software), Continuous Deployment, Continuous Integration, Technical Communication, Network Troubleshooting, Linux Commands, Linux, Scripting, Automation, Python Programming, Computer Programming",4.6,47K reviews,Beginner · Professional Certificate · 3 - 6 Months
38,Key Technologies for Business,IBM," SQL, Web Scraping, Database Design, MySQL, Data Transformation, Data Store, Extract, Transform, Load, IBM DB2, Relational Databases, Data Architecture, Jupyter, Data Pipelines, Big Data, Data Warehousing, Data Governance, Databases, Stored Procedure, Data Manipulation, Automation, Python Programming",4.7,55K reviews,Beginner · Specialization · 3 - 6 Months
39,AI Foundations for Everyone,IBM," Cloud Computing Architecture, Cloud Services, Cloud Security, Cloud Infrastructure, Data Mining, Cloud Platforms, Cloud Computing, Artificial Intelligence, Generative AI, Data Ethics, OpenAI, Cloud Storage, Artificial Intelligence and Machine Learning (AI/ML), Infrastructure As A Service (IaaS), Big Data, Emerging Technologies, Data Analysis, Data Science, Deep Learning, Digital Transformation",4.7,98K reviews,Beginner · Specialization · 3 - 6 Months
40,Google IT Automation with Python,IBM," ChatGPT, Generative AI, Artificial Intelligence, Data Ethics, OpenAI, Artificial Intelligence and Machine Learning (AI/ML), Deep Learning, Artificial Neural Networks, Application Deployment, IBM Cloud, Governance, Machine Learning, Business Transformation, Ethical Standards And Conduct, Computer Vision, Self Service Technologies, Information Architecture, Business Process Automation, Software Development Tools, Image Analysis",4.7,24K reviews,Beginner · Specialization · 3 - 6 Months
41,Foundations of Cybersecurity,Google," Security Controls, Cybersecurity, Cyber Attacks, Security Awareness, Cyber Security Policies, Network Analysis, Security Information and Event Management (SIEM), Ethical Standards And Conduct, SQL",4.9,32K reviews,Beginner · Course · 1 - 4 Weeks
42,IBM AI Foundations for Business,IBM," Data Mining, Artificial Intelligence, Generative AI, Data Ethics, OpenAI, Artificial Intelligence and Machine Learning (AI/ML), Big Data, Information Architecture, Strategic Decision-Making, Cloud Computing, Data Analysis, Data Science, Deep Learning, Digital Transformation, Data Strategy, Data-Driven Decision-Making, Artificial Neural Networks, Business Strategy, Business Process Automation, ChatGPT",4.7,91K reviews,Beginner · Specialization · 1 - 3 Months
43,Foundations of Digital Marketing and E-commerce,Google," Data Storytelling, Performance Measurement, Data-Driven Decision-Making, E-Commerce, Digital Marketing, Branding, Marketing Channel, Marketing Strategy and Techniques, Customer Analysis, Advertising, Marketing Analytics, Search Engine Marketing, Customer Engagement, Content Marketing, Brand Awareness, Search Engine Optimization, Social Media Marketing, Target Audience",4.8,26K reviews,Beginner · Course · 1 - 4 Weeks
44,Meta Front-End Developer,Meta," Jest (JavaScript Testing Framework), Version Control, User Research, UI/UX Research, Usability Testing, Responsive Web Design, Cascading Style Sheets (CSS), Data Structures, Unix Commands, HTML and CSS, Git (Version Control System), Persona (User Experience), GitHub, Interaction Design, Bootstrap (Front-End Framework), React.js, Mobile Development, Front-End Web Development, Algorithms, Web Development Tools",4.7,22K reviews,Beginner · Professional Certificate · 3 - 6 Months
45,Introduction to Finance and Accounting,University of Pennsylvania," Financial Statements, Return On Investment, Financial Statement Analysis, Finance, Financial Reporting, Capital Budgeting, Financial Accounting, Financial Modeling, Working Capital, Balance Sheet, Accrual Accounting, Accounting, Cash Flows, Income Statement, Generally Accepted Accounting Principles (GAAP), Financial Analysis, Tax Planning, Equities, Financial Planning, Corporate Finance",4.6,14K reviews,Beginner · Specialization · 3 - 6 Months
46,Python for Everybody,University of Michigan," Web Scraping, Data Processing, Relational Databases, JSON, Database Design, SQL, Network Protocols, Databases, Web Services, Restful API, Programming Principles, Data Cleansing, Data Structures, Data Collection, Data Visualization Software, Computer Programming, Python Programming, Data Manipulation, Development Environment, Computational Thinking",4.8,277K reviews,Beginner · Specialization · 3 - 6 Months
47,Meta Social Media Marketing,Meta," Social Media Content, Social Media Management, Social Media Marketing, Social Media, Marketing Analytics, Target Audience, Content Creation, Social Media Strategy, Instagram, Campaign Management, Marketing Effectiveness, Marketing, Performance Analysis, Key Performance Indicators (KPIs), Goal Setting, Advertising, Facebook, Performance Metric, Advertising Campaigns, Presentations",4.8,21K reviews,Beginner · Professional Certificate · 3 - 6 Months
48,IBM Data Management,IBM," Dashboard, Data Storytelling, Data Warehousing, SQL, Data Presentation, Data Governance, Data Security, Data Migration, Database Design, Interactive Data Visualization, Descriptive Statistics, Extract, Transform, Load, Data Mining, Cloud Storage, Data Visualization Software, Data Store, IBM DB2, Data Management, MySQL, Excel Formulas",4.7,16K reviews,Beginner · Professional Certificate · 3 - 6 Months
49,Technical Support Fundamentals,Google," Computer Hardware, Technical Support, Software Installation, Help Desk Support, Operating Systems, Information Technology, Hardware Troubleshooting, Microsoft Windows, Linux, Computer Networking, Computational Logic, Technical Documentation",4.8,158K reviews,Beginner · Course · 1 - 3 Months
50,Generative AI for Everyone,DeepLearning.AI," Generative AI, OpenAI, ChatGPT, Data Ethics, Artificial Intelligence, Artificial Intelligence and Machine Learning (AI/ML), Business Process Automation, Automation, Ethical Standards And Conduct, Machine Learning, Feasibility Studies, Cloud Applications, Reinforcement Learning",4.8,3.2K reviews,Intermediate · Specialization · 1 - 3 Months
51,Introduction to Generative AI Learning Path,Google Cloud," Generative AI, Data Ethics, Artificial Intelligence, Google Cloud Platform, Business Ethics, Application Development, Accountability, Compliance Training, Ethical Standards And Conduct, Artificial Intelligence and Machine Learning (AI/ML), Governance, Organizational Effectiveness, Machine Learning, Project Design, Decision Making, Natural Language Processing, Machine Learning Methods, Corporate Strategy, Performance Tuning, Business Leadership",4.6,8K reviews,Beginner · Course · 1 - 4 Weeks
52,Finance & Quantitative Modeling for Analysts,University of Pennsylvania," Return On Investment, Financial Reporting, Finance, Financial Data, Capital Budgeting, Financial Statements, Financial Modeling, Mathematical Modeling, Statistical Modeling, Regression Analysis, Business Modeling, Income Statement, Financial Analysis, Risk Analysis, Cash Flows, Business Mathematics, Financial Planning, Spreadsheet Software, Google Sheets, Excel Formulas",4.5,16K reviews,Beginner · Professional Certificate · 3 - 6 Months
53,IBM Full-Stack JavaScript Developer,IBM," Istio, Node.JS, Software Development Life Cycle, Server Side, MongoDB, Application Deployment, CI/CD, Kubernetes, Cloud-Native Computing, React Redux, NoSQL, Restful API, OpenShift, Git (Version Control System), Cloud Applications, Containerization, GitHub, HTML and CSS, Ajax, Interviewing Skills",4.6,6.7K reviews,Beginner · Specialization · 3 - 6 Months
54,IBM Business Intelligence (BI) Analyst,IBM," Dashboard, Data Storytelling, Data Warehousing, SQL, Data Presentation, Database Design, MySQL, Presentations, Descriptive Statistics, Extract, Transform, Load, Business Intelligence, Data Visualization Software, IBM DB2, Tableau Software, Stored Procedure, Interactive Data Visualization, Regression Analysis, Data-Driven Decision-Making, Excel Formulas, Microsoft Excel",4.7,13K reviews,Beginner · Professional Certificate · 3 - 6 Months
55,IBM Business Analyst,IBM," Data Storytelling, Requirements Elicitation, Business Process Modeling, Business Analysis, Data Presentation, Process Analysis, Resource Allocation, Interactive Data Visualization, Stakeholder Management, Process Optimization, Business Requirements, Requirements Management, Data Modeling, Risk Analysis, Stakeholder Engagement, Requirements Analysis, Excel Formulas, Microsoft Excel, Data Cleansing, Analysis",4.7,12K reviews,Beginner · Professional Certificate · 3 - 6 Months
56,Intuit Academy Bookkeeping,Intuit," Reconciliation, Financial Statements, Financial Statement Analysis, Inventory Accounting, Payroll, Bookkeeping, QuickBooks (Accounting Software), Inventory Control, Income Statement, Balance Sheet, Financial Reporting, Depreciation, Fixed Asset, Payroll Tax, Property Accounting, Accounting Software, Financial Accounting, Financial Analysis, Sales Tax, Accounting",4.6,7.1K reviews,Beginner · Professional Certificate · 3 - 6 Months
57,IBM iOS and Android Mobile App Developer,IBM," React Native, Software Development Life Cycle, iOS Development, Flutter (Software), Swift Programming, Apple Xcode, Mobile Development, Android Studio, User Centered Design, Android Development, Apple iOS, React Redux, Git (Version Control System), GitHub, Mobile Development Tools, React.js, Android (Operating System), HTML and CSS, Front-End Web Development, Generative AI",4.6,5.6K reviews,Beginner · Professional Certificate · 3 - 6 Months
58,IBM IT Project Manager,IBM," Stakeholder Engagement, Software Development Life Cycle, Agile Software Development, Project Management Life Cycle, Resource Management, Risk Management, Peer Review, Earned Value Management, Stakeholder Management, Agile Methodology, Project Risk Management, Team Motivation, Kanban Principles, Project Schedules, Development Environment, Project Management Institute (PMI) Methodology, Information Technology, Sprint Retrospectives, Interviewing Skills, Project Management",4.7,7.7K reviews,Beginner · Professional Certificate · 3 - 6 Months
59,IBM Back-end JavaScript Developer,IBM," Istio, Node.JS, Software Development Life Cycle, Containerization, Server Side, MongoDB, Application Deployment, Kubernetes, Cloud-Native Computing, NoSQL, Restful API, OpenShift, Git (Version Control System), Cloud Applications, GitHub, Serverless Computing, Back-End Web Development, HTML and CSS, Ajax, Interviewing Skills",4.6,6.3K reviews,Intermediate · Professional Certificate · 3 - 6 Months
60,IBM AI Engineering,IBM," Istio, Node.JS, Software Development Life Cycle, Containerization, Server Side, MongoDB, Application Deployment, Kubernetes, Cloud-Native Computing, NoSQL, Restful API, OpenShift, Git (Version Control System), Cloud Applications, GitHub, Serverless Computing, Back-End Web Development, HTML and CSS, Ajax, Interviewing Skills",4.6,6.3K reviews,Beginner · Professional Certificate · 3 - 6 Months
61,IBM Front-End Developer,IBM," Bootstrap (Front-End Framework), Software Development Life Cycle, Browser Compatibility, User Centered Design, Cloud-Native Computing, React Redux, NoSQL, Git (Version Control System), GitHub, Webpack, Application Development, MongoDB, React.js, Agile Methodology, HTML and CSS, Front-End Web Development, JavaScript Frameworks, Development Environment, Version Control, Interviewing Skills",4.6,5.8K reviews,Beginner · Professional Certificate · 3 - 6 Months
62,Generative AI with Large Language Models,DeepLearning.AI," Generative AI, PyTorch (Machine Learning Library), Deep Learning, Tensorflow, Artificial Intelligence, Applied Machine Learning, Scalability, Natural Language Processing, Machine Learning Methods, Application Deployment, Reinforcement Learning, User Feedback, Performance Tuning, Application Performance Management",4.8,3.2K reviews,Intermediate · Course · 1 - 4 Weeks
63,Mathematics for Machine Learning and Data Science,DeepLearning.AI," Generative AI, ChatGPT, OpenAI, Data Ethics, Leadership and Management, Business Leadership, Strategic Leadership, Business Ethics, IBM Cloud, Tensorflow, Artificial Intelligence, Artificial Intelligence and Machine Learning (AI/ML), Artificial Neural Networks, PyTorch (Machine Learning Library), Deep Learning, Content Creation, Business Transformation, New Business Development, Socioeconomics, Software Development Tools",4.6,5.1K reviews,Beginner · Specialization · 3 - 6 Months
64,Generative AI Fundamentals,IBM," ChatGPT, Generative AI, Exploratory Data Analysis, Data Ethics, OpenAI, Feature Engineering, Predictive Modeling, Artificial Intelligence, IBM Cloud, Data Storytelling, Data Modeling, Artificial Intelligence and Machine Learning (AI/ML), Predictive Analytics, Data Science, Data Analysis, Data Transformation, Data Visualization Software, Software Development Tools, Image Analysis, Technical Communication",4.7,4.9K reviews,Intermediate · Specialization · 1 - 3 Months
65,Generative AI for Data Scientists,IBM," Generative AI, ChatGPT, Data Storytelling, OpenAI, Analytics, Data Analysis, Dashboard, Data Ethics, Artificial Intelligence, IBM Cloud, Data Visualization Software, Artificial Intelligence and Machine Learning (AI/ML), SQL, Python Programming, Data Processing, Software Development Tools, Data Cleansing, Augmented and Virtual Reality (AR/VR), Image Analysis, Technical Communication",4.7,4.9K reviews,Intermediate · Specialization · 1 - 3 Months
66,Generative AI for Data Analysts,IBM," ChatGPT, Generative AI, Commercialization, Product Management, Product Lifecycle Management, Stakeholder Communications, OpenAI, Technical Product Management, Artificial Intelligence, Team Building, Product Roadmaps, Return On Investment, Product Development, New Product Development, Product Strategy, IBM Cloud, Technical Communication, Artificial Intelligence and Machine Learning (AI/ML), Software Development Tools, Image Analysis",4.7,4.9K reviews,Intermediate · Specialization · 1 - 3 Months
67,Generative AI for Product Managers,IBM," ChatGPT, Generative AI, Mobile Development, OpenAI, CI/CD, Software Development, Apple iOS, Software Development Life Cycle, DevSecOps, Data Ethics, Application Development, Natural Language Processing, Cloud Development, Prototyping, Marketing Analytics, Data-Driven Decision-Making, Artificial Intelligence, IBM Cloud, Software Development Tools, Image Analysis",4.7,4.9K reviews,Advanced · Specialization · 1 - 3 Months
68,Generative AI for Mobile App Developers,IBM," ChatGPT, Generative AI, OpenAI, CI/CD, Software Development, Software Development Life Cycle, DevSecOps, Data Ethics, Natural Language Processing, Prototyping, Software Architecture, Artificial Intelligence, IBM Cloud, Artificial Intelligence and Machine Learning (AI/ML), Software Testing, Software Development Tools, Augmented and Virtual Reality (AR/VR), Debugging, Image Analysis, Technical Communication",4.7,4.9K reviews,Intermediate · Specialization · 1 - 3 Months
