"","Title","Company","Location","DatePosted","SalaryFrom","SalaryTo","EmploymentType","Source","preferred_skills","description"
"37","Data Scientist","Chubb","Jersey City, NJ","2025-03-19",101473,147572,"","glassdoor","ai,modeling,python,sql,communication","* Build predictive models and analytic solutions, with minimal supervision, to support the underwriting and marketing functions within Chubb.
* Assist in brainstorming potential data sources that may contain predictive variables. Identify, acquire, evaluate, and document data from these various sources, both internal and external.
* Collaborate in extracting and manipulating data using data management tools from internal and external data sources.
* Understand and combine data from various sources to create analytics data sets. Develop a strong working knowledge of how current systems and data sources are populated and sourced.
* Analyze data, draw meaningful conclusions, and assist in developing solutions to help drive profitability and/or growth.
* Introduce novel methodologies, algorithms, tools, and technologies to solve assigned problems.
* Communicate and present findings to business partners to ensure successful integration of projects into business process. Proactively follow up on any issues that were raised during presentations.
* Participate in developing solutions to implement models into production. Work with I/T in the design and testing of models.
* Support business requests which require statistical analysis.
* May lead a small team of direct reports (1\\-2 analysts). Create goals, oversee projects on a regular basis and provide timely feedback.
* Provide training guidance and assistance to colleagues.
* Collaborate with other analytics teams (i.e., Applied AI, Emerging Risks) to achieve objectives.
* Build partnerships with key counterparts.
* Monitor the performance and usage of models. Ensure that the reports suit the needs of the audience.
* Create and maintain clear and concise documentation associated with models.

  
* Minimum of a Bachelor’s Degree, preferably in Statistics, Mathematics, Analytics or Computer Science. Advanced degree in Statistics or Predictive Analytics is strongly preferred.
* 5\\+ years of predictive analytics experience, preferably in the insurance industry.
* Understanding of business challenges, design analytical solutions, using advanced modeling techniques and synthesize insights to business decision making process.
* Intermediate knowledge in statistical analysis and multivariate procedures. Knowledge of Machine Learning techniques and AI is a plus.
* Able to complete analytical tasks independently with some guidance, if necessary.
* Strong organizational skills, able to work well under deadlines in a changing environment and perform multiple tasks effectively and concurrently. Produces accurate work products in a timely manner.
* Ability and desire to work in a fast\\-paced, team\\-oriented environment.
* Business experience and knowledge of P\\&C industry is a plus.
* Experience with a statistical package (Python, R) and/or data management (SQL) and/or programming is required . Experience with GitHub and Databricks is a plus.
* Experience with text analytics, including NLP, is a plus.
* Experience with writing gen AI prompts is a plus.
* Proficient in Microsoft Suite applications.
* Excellent oral and written communication skills. Ability to articulate an understanding of their work products.

  
Chubb is a world leader in insurance. With operations in 54 countries, Chubb provides commercial and personal property and casualty insurance, personal accident and supplemental health insurance, reinsurance, and life insurance to a diverse group of clients. The company is distinguished by its extensive product and service offerings, broad distribution capabilities, exceptional financial strength, underwriting excellence, superior claims handling expertise and local operations globally.  

  

At Chubb, we are committed to equal employment opportunity and compliance with all laws and regulations pertaining to it. Our policy is to provide employment, training, compensation, promotion, and other conditions or opportunities of employment, without regard to race, color, religious creed, sex, gender, gender identity, gender expression, sexual orientation, marital status, national origin, ancestry, mental and physical disability, medical condition, genetic information, military and veteran status, age, and pregnancy or any other characteristic protected by law. Performance and qualifications are the only basis upon which we hire, assign, promote, compensate, develop and retain employees. Chubb prohibits all unlawful discrimination, harassment and retaliation against any individual who reports discrimination or harassment."
"38","Jr. Data Scientist","Shield Consulting Solutions","Annapolis Junction, MD","2025-03-19",125000,135000,"","glassdoor","python,modeling","\\*\\*Active TS/SCI w/Polygraph REQUIRED\\*\\* Please do not apply if you do not currently possess this level of clearance.
\\-  

  

Telework: None  

  

Basic Requirements:
* 3 years of relevant experience in designing/implementing machine learning, data science, advanced analytical algorithms, programming (skill in at least one high\\-level language (e.g., Python) and skill in at least one mid\\-level language (e.g. C), data mining, advanced statistical analysis (e.g. statistical foundations of machine learning, statistical approaches to missing data, time series), advanced mathematical foundations (e.g. numerical methods, graph theory), artificial intelligence, workflow and reproducibility, data management and curation, data modeling and assessment (e.g. model selection, evaluation, and sensitivity analysis), experience as a data scientist working to support a single or multiple domain areas, and/or software engineering.
* Bachelor’s Degree in Mathematics, Applied Mathematics, Statistics, Applied Statistics, Machine Learning, Data Science, Operations Research, or Computer Science.


  

Required Experience:
* Devise strategies for extracting meaning and value from large datasets.
* Make and communicate principled conclusions from data using elements of mathematics, statistics, computer science, and application specific knowledge.
* Make and communicate principled conclusions from data using elements of mathematics, statistics, computer science, and application specific knowledge.
* Translate practical mission needs and analytic questions related to large datasets into technical requirements and, conversely, assist others with drawing appropriate conclusions from the analysis of such data.
* Effectively communicate complex technical information to non\\-technical audiences.
* Make informed recommendations regarding competing technical solutions by maintaining awareness of the constantly\\-shifting NSA/CSS collection, processing, storage and analytic capabilities and limitations.


  

Salary: $125,000 \\- $135,000 annually  

\\-  

Excellent benefits package including 25 days PTO, 11 paid holidays, 100% employer\\-paid healthcare for employees and dependents – available day 1, 8% 401(k) employer match – immediate vesting.
  

  

Disclaimer: The salary range provided is an estimate based on current market conditions and may be adjusted based on factors such as experience, skills, and qualifications. The final salary offer will be determined after a thorough review of the candidate's background and alignment with the role. Please note that this range is subject to change and should be considered as a guideline rather than a definitive figure.  

  

Shield Consulting Solutions is an equal opportunity/affirmative action employer. All qualified applicants will receive consideration for employment without regard to sex, gender identity, sexual orientation, race, color, religion, national origin, disability, protected Veteran status, age, or any other characteristic protected by law."
"39","Real Estate Data Scientist","Property Leads","","2025-03-19",85000,150000,"","glassdoor","sql,python,communication","**Real Estate Data Scientist**
==============================


**Remote \\| United States**


**Role Overview**
-----------------


We are seeking an experienced **Real Estate Data Scientist** to join **Property Leads**, a fast\\-growing start\\-up specializing in lead generation and data solutions for real estate investors. This role is critical in identifying and curating high\\-quality, high\\-conversion leads from specialized data sources, including **divorce records, bankruptcy filings, probate cases,** and other niche real estate indicators.


The ideal candidate will have a deep understanding of the real estate investment landscape and the ability to leverage specialized data to drive high quality lead generation and business growth.


**Responsibilities**
--------------------


* Source and analyze specialized real estate data sets, including:
	+ **Divorce records**
	+ **Bankruptcy filings**
	+ **Probate cases**
	+ **Tax liens, pre\\-foreclosures,** and other distressed property indicators
* Develop and maintain efficient processes for extracting, cleansing, and managing data from multiple sources.
* Identify patterns and insights in data to improve lead targeting and conversion rates.
* Collaborate with the marketing and sales teams to create actionable lead lists and improve outreach strategies.
* Stay current with trends and tools in real estate data sourcing and analysis.
* Ensure data accuracy, completeness, and compliance with relevant regulations.


**Qualifications**
------------------


* **3\\+ years** of experience working with real estate data, particularly niche data sets (divorce, bankruptcy, probate, etc.).
* Strong understanding of real estate investment strategies and the investor mindset.
* Proficiency in data analysis and management tools (e.g., Excel, SQL, Python).
* Experience with data platforms and lead generation tools (e.g., PropStream, BatchLeads).
* Proven ability to source and curate high\\-quality real estate leads.
* Highly analytical with a strong attention to detail.
* Excellent communication and collaboration skills.


**Preferred Qualifications**
----------------------------


* Previous experience in a start\\-up or fast\\-paced environment.


**Benefits**
------------


* **Competitive salary** based on experience
* **Flexible, remote work environment**
* **Unlimited PTO**
* **Opportunity to grow** with a rapidly scaling company"
"40","Clinical Medicine Expertise Sought for AI Training - AI Trainer","Outlier Ai","Memphis, TN","2025-03-19",50000,90000,"","glassdoor","ai","**Outlier helps the world’s most innovative companies improve their AI models by providing human feedback. Are you an experienced Clinical Medicine Expert who would like to lend your expertise to train AI models?**

 **About the opportunity:**

* Outlier is looking for talented **Clinical Medicine Experts** to help train generative artificial intelligence models
* This freelance opportunity is remote and hours are flexible, so you can work whenever is best for you

**You may contribute your expertise by…**

* Assessing the factuality and relevance of domain\\-specific text produced by AI models
* Crafting and answering questions related to **Clinical Medicine**
* Evaluating and ranking domain\\-specific responses generated by AI models

 **Examples of desirable expertise:**

* A bachelor's or higher degree in **Clinical Medicine** or a related subject
* Experience working as a **Clinical Medicine** professional
* Ability to write clearly about concepts related to **Clinical Medicine** in fluent English

 **Payment:**

* Currently, pay rates for core project work by **Clinical Medicine** experts range from $25 to $45 per hour USD.
* Rates vary based on expertise, skills assessment, location, project need, and other factors. For example, higher rates may be offered to PhDs. For non\\-core work, such as during initial project onboarding or project overtime phases, lower rates may apply. Certain projects offer incentive payments. Please review the payment terms for each project."
"41","Lead Data Scientist, Media Group Decision Sciences","NBCUniversal","New York, NY","2025-03-19",145000,175000,"","google","python,sql,communication","Company Description

We create world-class content, which we distribute across our portfolio of film, television, and streaming, and bring to life through our theme parks and consumer experiences. We own and operate leading entertainment and news brands, including NBC, NBC News, MSNBC, CNBC, NBC Sports, Telemundo, NBC Local Stations, Bravo, USA Network, and Peacock, our premium ad-supported streaming service. We produce and distribute premier filmed entertainment and programming through Universal Filmed Entertainment Group and Universal Studio Group, and have world-renowned theme parks and attractions through Universal Destinations & Experiences. NBCUniversal is a subsidiary of Comcast Corporation.

Comcast NBCUniversal has announced its intent to create a new publicly traded company ('SpinCo') comprised of most of NBCUniversal's cable television networks, including USA Network, CNBC, MSNBC, Oxygen, E!, SYFY and Golf Channel along with complementary digital assets Fandango, Rotten Tomatoes, GolfNow, GolfPass, and SportsEngine. The well-capitalized company will have significant scale as a pure-play set of assets anchored by leading news, sports and entertainment content. The spin-off is expected to be completed during 2025.

As a company uniquely positioned to educate, entertain and empower through our platforms, Comcast NBCUniversal stands for including everyone. Our Diversity, Equity and Inclusion initiatives, coupled with our Corporate Social Responsibility work, is informed by our employees, audiences, park guests and the communities in which we live. We strive to foster a diverse, equitable and inclusive culture where our employees feel supported, embraced and heard. Together, we'll continue to create and deliver content that reflects the current and ever-changing face of the world.

Job Description

As a Lead Data Scientist on the Media Group Decision Sciences team, you will play a critical role in developing data-driven insights and solutions that optimize audience engagement across the business. Reporting to the Director of Audience Science, the Lead Data Scientist will work closely with data scientists, business stakeholders, analysts, and engineers to design, build, and deploy scalable solutions, driving our audience prioritization, segmentation, and targeting strategies. The Lead Data Scientist will leverage their expertise in advanced statistical methods, applied machine learning, and media industry experience to deliver impactful lift across content, marketing, and targeting strategies, helping shape how we reach and retain audiences.

Responsibilities:
• Partner with cross-functional teams (e.g. Consumer Insights, Research, Advanced Analytics teams) to develop and implement solutions that optimize our audience.
• Own and deliver results on new and existing projects, implementing statistical analysis, machine learning, and data science techniques to enhance our understanding of our audiences, their behaviors, and optimize their engagement.
• Communicate complex findings effectively via clear presentations to all levels of the organization.
• Ability to clearly document code, methodologies, and workflows for maintainability and collaboration.
• Think critically about first and third party data and how to leverage them to generate actionable insights and drive better decision making.
• Advance the innovation of methodologies and tools used by the team.
• Manage priorities across a mix of ad-hoc and operational projects.
• Provide mentorship to junior teammates via pairing and code reviews.

Qualifications
• BS or MS in a quantitative or technical field (e.g. Computer Science, Data Science, Economics, Mathematics, Operations Research, or related disciplines).
• 5+ years of experience applying statistical methods or machine learning techniques in an industry or research environment.
• Advanced knowledge of statistical methods and machine learning, and the ability to select appropriate methods and tools while staying informed on recent advancements.
• Fluency in Python and SQL, along with experience in cloud-based data processing frameworks such as PySpark and BigQuery.
• Experience using data visualization tools and techniques to communicate business insights and recommendations.

Desired Characteristics:
• Experience designing and deploying scalable data and machine learning pipelines, particularly in Databricks or similar cloud platforms.
• Experience with ownership of data products, either internal or consumer-facing.
• Strong oral and written communication skills, with the ability to explain complex concepts to diverse stakeholders.
• Team-oriented and collaborative, with a proactive approach to problem-solving and learning.
• Strong sense of curiosity, accountability, and ability to execute projects of all sizes with clear vision and purpose.
• Enthusiastic about video, TV, and streaming content.

Additional Requirements:

Hybrid: This position has been designated as hybrid, generally contributing from the office a minimum of three days per week.

This position is eligible for company sponsored benefits, including medical, dental and vision insurance, 401(k), paid leave, tuition reimbursement, and a variety of other discounts and perks. Learn more about the benefits offered by NBCUniversal by visiting the Benefits page of the Careers website. Salary range: $145,000 - $175,000 (bonus and long-term incentive eligible)

Additional Information

As part of our selection process, external candidates may be required to attend an in-person interview with an NBCUniversal employee at one of our locations prior to a hiring decision. NBCUniversal's policy is to provide equal employment opportunities to all applicants and employees without regard to race, color, religion, creed, gender, gender identity or expression, age, national origin or ancestry, citizenship, disability, sexual orientation, marital status, pregnancy, veteran status, membership in the uniformed services, genetic information, or any other basis protected by applicable law.

If you are a qualified individual with a disability or a disabled veteran and require support throughout the application and/or recruitment process as a result of your disability, you have the right to request a reasonable accommodation. You can submit your request to AccessibilitySupport@nbcuni.com."
"42","Sr Staff Data Scientist","GE Aerospace","Evendale, OH","2025-03-19",NA,NA,"contract","google","ai,python","Job Description Summary
As a Sr Staff Data Scientist, you will lead and work within teams as a technical domain expert addressing statistical, machine learning, and artificial intelligence problems in a commercial technology and consultancy development environment. You will be part of a data science or cross-disciplinary team driving AI business solutions involving large, complex data sets. Potential application areas include time series forecasting, machine learning regression and classification, root cause analysis (RCA), simulation and optimization, large language models, and computer vision. The ideal candidate will be responsible for developing and deploying machine learning models in production environments. This role requires a strong technical background, excellent problem-solving skills, and the ability to work collaboratively with data engineers, analysts, and other stakeholders.

Job Description

Roles and Responsibilities:
• Understand business problems and identify opportunities to implement data science solutions.
• Develop, verify, and validate analytics to address customer needs and opportunities.
• Design, develop, and deploy machine learning models and algorithms
• Work in technical teams on the development, deployment, and application of applied analytics, predictive analytics, and prescriptive analytics.
• Develop and maintain pipelines for Retrieval-Augmented Generation (RAG) and Large Language Models (LLM).
• Collaborate with data scientists to optimize RAG and LLM pipelines for performance and accuracy.
• Utilize semantic and ontology technologies to enhance data integration and retrieval. Ensure data is semantically enriched to support advanced analytics and machine learning models.
• Interact with cloud services and develop and deploy models within cloud environments such as AWS, Azure, Google Cloud, and Databricks
• Perform exploratory and targeted data analyses using descriptive statistics and other methods.
• Work with data engineers on data quality assessment, data cleansing, data analytics, and model productionization
• Generate reports, annotated code, and other projects artifacts to document, archive, and communicate your work and outcomes.
• Communicate methods, findings, and hypotheses with stakeholders.
• Mentor colleagues in technical areas and drive standardization across the analytics enterprise
• Review data science/AI projects for technical rigor

Minimum Qualifications:
• Bachelor’s degree from accredited university or college with minimum of 6 years of professional experience OR associates degree with minimum of 8 years of professional experience
• 4 years proficiency in Python (mandatory)
• 3 years demonstrated expertise in cloud platforms (e.g. AWS, Azure, Google Cloud, Databricks) and their machine learning services
• 3 years demonstrated expertise working and leading in team settings in various roles
• Note: Military experience is equivalent to professional experience

Eligibility Requirement:
• Legal authorization to work in the U.S. is required. We will not sponsor individuals for employment visas, now or in the future, for this job.

Desired Characteristics:
• Demonstrated skill in defining and delivering customer value.
• Demonstrated expertise communicating complex information to executive stakeholders
• Demonstrated expertise in critical thinking and problem-solving methods
• Demonstrated experience deploying and managing CI/CD pipelines
• Demonstrated skill in data management methods and analytic scaling
• Demonstrated skill in prescriptive analytics and analytic prototyping.
• Demonstrated skill in solutions integration
• Demonstrated skill in serving as a change agent.
• Demonstrated skill in working in ambiguous environments.

Note:

To comply with US immigration and other legal requirements, it is necessary to specify the minimum number of years' experience required for any role based within the USA. For roles outside of the USA, to ensure compliance with applicable legislation, the JDs should focus on the substantive level of experience required for the role and a minimum number of years should NOT be used.

This Job Description is intended to provide a high level guide to the role. However, it is not intended to amend or otherwise restrict/expand the duties required from each individual employee as set out in their respective employment contract and/or as otherwise agreed between an employee and their manager.

Additional Job Description

Compensation Grade

SPB3

This role requires access to U.S. export-controlled information. If applicable, final offers will be contingent on ability to obtain authorization for access to U.S. export-controlled information from the U.S. Government.

Additional Information

GE Aerospace offers a great work environment, professional development, challenging careers, and competitive compensation. GE Aerospace is an Equal Opportunities Employer. Employment decisions are made without regard to race, color, religion, national or ethnic origin, sex, sexual orientation, gender identity or expression, age, disability, protected veteran status or other characteristics protected by law.

GE Aerospace will only employ those who are legally authorized to work in the United States for this opening.

Relocation Assistance Provided: Yes"
"43","(USA) Senior Distinguished I, Data Scientist","Walmart","Silver Spring, MD","2025-03-18",192000,384000,"","google","communication,python,sql","Position Summary... What you'll do... The Senior Distinguished Data Science lead drive innovation and efficiency in our processes. This role focuses on leveraging advanced data methodologies, fostering a culture of mentorship and continuous learning, and utilizing creative applications of Large Language Models (LLMs) to optimize team performance. By supporting the architecture and overall design of robust data solutions, you'll ensure our team delivers exceptional insights and value to the organization.

About Team:
At Walmart, we prioritize innovation and data security. Our team is dedicated to maintaining a secure operating environment and preserving the trust of our customers, associates, and stakeholders. We combine a range of services and expertise to prevent fraud, detect threats, and manage digital risk and access. Our focus is on mitigating attack risks, securing cloud transformation, and fostering a culture of security and reliability within our team

What you'll do:
Holistic Data Science Oversight : Provide an overarching data science view across services, risk & compliance, and international security to ensure cohesive and strategic integration of data-driven insights throughout the organization.
Proactive Risk Management : Identify and analyze patterns and trends to facilitate proactive information security risk management, ensuring potential threats are detected and mitigated promptly.
Cross-Functional Collaboration : Work cross-functionally across the broader information security department to integrate data science solutions, fostering collaboration and enhancing the overall security posture of the organization.
Process Efficiency Enhancement : Drive efficiencies within the team and for customers by optimizing processes and methodologies, ensuring streamlined operations and improved service delivery.
Mentorship and Upskilling : Mentor and upskill team members, fostering a culture of continuous learning and professional growth within the data science team.
Innovative LLM Utilization : Leverage creativity in the application of Large Language Models (LLMs) to optimize team performance and processes, enabling advanced data-driven solutions and enhancing overall efficiency.
Solution Architecture Designs : Inspect the architecture and overall design of data science solutions, ensuring they are robust, scalable, and aligned with organizational objectives.

What you'll bring:
Bachelor's degree in a relevant field (e.g., Data Science, Computer Science, Information Security) or equivalent experience.
Proven experience in a leadership or management role within a data science or technology-focused organization.
Strong analytical skills, with the ability to interpret complex data and provide actionable insights.
Experience with cross-functional collaboration, particularly within security and/or governance departments.
Excellent communication and interpersonal skills, with the ability to mentor and upskill team members effectively.
Creative problem-solving abilities, particularly in the application of Large Language Models (LLMs) to optimize team performance.
Proficiency in data science tools and programming languages (e.g., Python, R, SQL, TensorFlow).
Solid understanding of solution architecture and design principles, ensuring robust and scalable data science solutions.
Ability to drive process efficiencies, improving team and customer outcomes.
Strategic mindset, with the ability to think critically and make data-driven decisions.
Adaptability to a fast-paced, rapidly changing environment and the ability to manage ambiguity.

About Walmart Global Tech
Imagine working in an environment where one line of code can make life easier for hundreds of millions of people. Thats what we do at Walmart Global Tech. Were a team of software engineers, data scientists, cybersecurity expert's and service professionals within the worlds leading retailer who make an epic impact and are at the forefront of the next retail disruption. People are why we innovate, and people power our innovations. We are people-led and tech-empowered. We train our team in the skillsets of the future and bring in experts like you to help us grow. We have roles for those chasing their first opportunity as well as those looking for the opportunity that will define their career. Here, you can kickstart a great career in tech, gain new skills and experience for virtually every industry, or leverage your expertise to innovate at scale, impact millions and reimagine the future of retail.
Walmarts culture is a competitive advantage, and its fostered by being together. Working together in person allows us to collaborate, align quickly and innovate with greater speed. We use our campuses to create purposeful connection rooted in deepening understanding and investing in the development of our associates.
Our hubs: Walmart is a global company with offices across the United States and around the world. Our global headquarters is in Bentonville, Arkansas, with primary hubs in the San Francisco Bay area and New York/New Jersey.

Benefits:
Benefits: Beyond our great compensation package, you can receive incentive awards for your performance. Other great perks include 401(k) match, stock purchase plan, paid maternity and parental leave, PTO, multiple health plans, and much more.

Equal Opportunity Employer:
Walmart, Inc. is an Equal Opportunity Employer By Choice. We believe we are best equipped to help our associates, customers and the communities we serve live better when we really know them. That means understanding, respecting and valuing diversity- unique styles, experiences, identities, ideas and opinions while being inclusive of all people.

The above information has been designed to indicate the general nature and level of work performed in the role. It is not designed to contain or be interpreted as a comprehensive inventory of all responsibilities and qualifications required of employees assigned to this job. The full Job Description can be made available as part of the hiring process.

At Walmart, we offer competitive pay as well as performance-based bonus awards and other great benefits for a happier mind, body, and wallet. Health benefits include medical, vision and dental coverage. Financial benefits include 401(k), stock purchase and company-paid life insurance. Paid time off benefits include PTO (including sick leave), parental leave, family care leave, bereavement, jury duty, and voting. Other benefits include short-term and long-term disability, company discounts, Military Leave Pay, adoption and surrogacy expense reimbursement, and more. ?

You will also receive PTO and/or PPTO that can be used for vacation, sick leave, holidays, or other purposes. The amount you receive depends on your job classification and length of employment. It will meet or exceed the requirements of paid sick leave laws, where applicable. ?
For information about PTO, see

Live Better U is a Walmart-paid education benefit program for full-time and part-time associates in Walmart and Sam's Club facilities. Programs range from high school completion to bachelor's degrees, including English Language Learning and short-form certificates. Tuition, books, and fees are completely paid for by Walmart. ?
Eligibility requirements apply to some benefits and may depend on your job classification and length of employment. Benefits are subject to change and may be subject to a specific plan or program terms. ?
For information about benefits and eligibility, see One.Walmart.
?
The annual salary range for this position is $192,000.00-$384,000.00 ?
Additional compensation includes annual or quarterly performance bonuses. ?
Additional compensation for certain positions may also include: ?
?
- Stock ?
?
Minimum Qualifications... Outlined below are the required minimum qualifications for this position. If none are listed, there are no minimum qualifications.
Option 1: Bachelors degree in Statistics, Economics, Analytics, Mathematics, Computer Science, Information Technology or related field and 7
years' experience in an analytics related field. Option 2: Masters degree in Statistics, Economics, Analytics, Mathematics, Computer Science,
Information Technology or related field and 5 years' experience in an analytics related field. Option 3: 9 years' experience in an analytics or related
field. Preferred Qualifications... Outlined below are the optional preferred qualifications for this position. If none are listed, there are no preferred qualifications.
Data science, machine learning, optimization models, PhD in Machine Learning, Computer Science, Information Technology, Operations Research, Statistics, Applied Mathematics, Econometrics, Publications or active peer reviewer in related journals or conference, Successful completion of one or more assessments in Python, Spark, Scala, or R, Using open source frameworks (for example, scikit learn, tensorflow, torch), We value candidates with a background in creating inclusive digital experiences, demonstrating knowledge in implementing Web Content Accessibility Guidelines (WCAG) 2.2 AA standards, assistive technologies, and integrating digital accessibility seamlessly. The ideal candidate would have knowledge of accessibility best practices and join us as we continue to create accessible products and services following Walmarts accessibility standards and guidelines for supporting an inclusive culture. Primary Location... 10790 Parkridge Dr. Suite 200, Reston, VA 20191, United States of America Walmart"
"44","Data Scientist - Intermediate","Cone Health","Graham, NC","2025-03-17",NA,NA,"","google","modeling","Overview:

The Intermediate Data Scientist utilizes applied data science tools and techniques to create value for the company by uncovering fresh information. With limited oversight, this position focuses on creating impactful models that can be put into practice to enhance patient wellness, streamline care operations, and manage healthcare expenses by promoting health and reducing risks.

Responsibilities:

Utilizes data mining techniques based on machine learning to uncover fresh insights in claims and healthcare delivery data with the aim of comprehending the organization's performance and the demographics it caters to.

Develops prognostic algorithms for healthcare and economic results and societal trends.

Creates simulation models to evaluate the potential results of strategic and tactical suggestions and to grasp the impact of various business factors before executing them.

Shows a meticulous approach and proactive attitude in identifying inaccuracies in data or interpretations, as well as recognizing the necessity for further investigation resulting from the initial task.

Utilizes a blend of data extraction, forecasting techniques, simulated modeling, or additional numerical examinations to offer fresh perspectives on factors influencing both clinical risks and financial outcomes.

Prepares reports tailored to the needs of customers, incorporating business context to support data-driven analysis and suggestions, with a moderate level of effort necessary.

Offers guidance and support in the application of data science tools and techniques to employees working at the Data Scientist level.

Executes additional tasks as required.

Qualifications:

EDUCATION:

Required:
• Bachelor's Degree

EXPERIENCE:

Required:
• 3 years

LICENSURE/CERTIFICATION/REGISTRY/LISTING:REQUIRED"
"45","Data Science Manager","National Grid","Waltham, MA","2025-03-16",154000,181000,"","google","modeling,python,sql,ai","About us

Every day, we deliver safe and secure energy to homes, communities, and businesses, connecting people to the energy they need for their lives. Our expertise and track record position us uniquely to shape the sustainable future of our industry as the pace of change accelerates. To succeed, we must anticipate customer needs, reduce energy delivery costs, and pioneer flexible energy systems. This requires delivering on our promises and seeking opportunities for growth.

In IT and Digital, we collaborate closely with the diverse energy businesses within the National Grid group, revolutionizing operations through technology. Embracing Agile methodologies and Digital mindsets, we drive efficiency and bring new capabilities to internal and external customers as we lead the charge towards a carbon-free future.

Our work is critical, as National Grid powers millions of homes and businesses in the UK and US, and the technology we employ is vital to this task. The successful applicant for this position will play a crucial role in our mission, supported by our multicultural, customer-centric global team, with opportunities for professional development.

National Grid is hiring a Manager of Data Science. This position offers remote flexibility, with the requirement that candidates reside in one of the following states: New York (NY), New Jersey (NJ), Massachusetts (MA), Connecticut (CT), Vermont (VT), Rhode Island (RI), Maine (ME), or New Hampshire (NH).

Job Purpose

As a Data Science Manager at National Grid, you will lead a team and do hands-on work. You will work in a dynamic organization to turn data into actionable intelligence. The variety and complexity of challenges you will solve is second to none, but most important is the real world impact your work will have on the lives of millions of people. The National Grid Data Science teams provide insights and conclusions from multiple sources of information in a variety of different formats using analysis techniques that range from simple to advanced. An ability to work cross-functionally and on agile teams is critical and you should have a broad knowledge of:

· Statistical & Probabilistic Analyses

· Programming/Software Development

· Effective Visualization and Presentation

Key Accountabilities

• Lead, manage, and mentor a team of Data Scientists

• Employ sophisticated analytics programs, machine learning, and statistical methods for predictive and prescriptive modeling, forecasting, and simulations

• Discover the best methods of integrating data from several different sources and formats for use in analyses

• Project manage efforts both internal to the team and across the enterprise

• Be intellectually curious and enjoy learning

Qualifications

• 5+ years of Data Science experience (utility or energy sector is a plus)

• Experience leading a team of individual contributors

• Demonstrated ability to communicate and interact with business stakeholders without supervision

• Demonstrated ability to translate technical knowledge into business terms

Fluency in:

• Data Science tools and techniques

• Python

• SQL

• Experience with cloud computing in Linux and Windows environments (Azure is a plus)

• Master’s degree in a quantitative discipline, exceptional candidates considered with Bachelor’s degree or Master’s degree in progress

Preferred Skills and Experience:

• Strong background in full lifecycle of Data Science products

• Regulated utility experience

• Experience with Gen AI and LLM tools

• Data Science competition entries (kaggle, kdnuggets, etc.)

• Experimental Design experience

• Interactive visualization tools (Power BI is a plus)

• GIS knowledge (ArcGIS is a plus)

• Knowledge of agile frameworks

Your Rewards

Rewarding work and a collaborative, team-oriented culture are just the beginning. Review our digital benefit guide at ngbenefitslivebrighter.com for full details and descriptions. Not Applicable.

More Information

#LI-RK1 #LI-HYBRID

Salary

$154k - $181k a year

This position has a career path which provides for advancement opportunities within and across bands as you develop and evolve in the position; gaining experience, expertise and acquiring and applying technical skills. Candidates will be assessed and provided offers against the minimum qualifications of this role and their individual experience.

National Grid is an equal opportunity employer that values a broad diversity of talent, knowledge, experience and expertise.  We foster a culture of inclusion that drives employee engagement to deliver superior performance to the communities we serve.  National Grid is proud to be an affirmative action employer. We encourage minorities, women, individuals with disabilities and protected veterans to join the National Grid team."
"46","Principal, Data Scientist TO","Georgia Power Company","Atlanta, GA","2025-03-16",NA,NA,"","google","","Georgia Power Company is seeking a Principal Data Scientist TO for a full-time position based in Atlanta, GA. The role involves working within the climate tech sector, with opportunities to engage in impactful projects. The company is part of a network that tracks job openings in climate technology.
Job posting details for Principal, Data Scientist TO at Georgia Power Company in Atlanta, GA, USA; Fulton County, GA, USA; Georgia, USA; United States; North America. . ClimateTechList gathers 17,000+ job openings from over 805 climate tech companies and updates them daily."
